Quote
"""No man can remake himself without suffering, for he is both the marble and the sculptor"" - Alexis Carrell"
"""Climb the highest peak. Sing when the bruatlity hits; I'm here with you. The winter winds can only get so cold. "
"“No man has the right to be an amateur in the matter of physical training. It is a shame for a man to grow old without seeing the beauty and strength of which his body is capable."" Socrates"
"“Failure is simply the opportunity to begin again, this time more intelligently.” – Henry Ford"
"“As men grow old enough to look back on their lives, any pain they have does not come from the things at which they failed, but the things they never tried.” – Antwan McLean"
“It is never too late to be what you might have been.” – George Eliot
"“Not until we are lost, do we begin to find ourselves.” – Henry David Thoreau"
“Believe you can and you’re halfway there.” – Theodore Roosevelt
"“Life is never made unbearable by circumstances, but only by lack of meaning and purpose.” — Viktor Frankl"
“Success is going from failure to failure without losing your enthusiasm.” – Winston Churchill
“Never underestimate the power of dreams and the influence of the human spirit. We are all the same in this notion: The potential for greatness lives within each of us.” – Wilma Rudolph
“You must be the change you wish to see in the world.” — Gandhi
 “The most powerful relationship you will ever have is the relationship with yourself. It is in this relationship that you set the standard for all others.” – Steve Maraboli
"The greatest glory in living lies not in never falling, but in rising every time we fall. -Nelson Mandela"
The way to get started is to quit talking and begin doing. -Walt Disney
It is during our darkest moments that we must focus to see the light. -Aristotle
Never let the fear of striking out keep you from playing the game. -Babe Ruth
Many of life's failures are people who did not realize how close they were to success when they gave up. -Thomas A. Edison
"""The only impossible journey is the one you never begin."" -Tony Robbins"
In three words I can sum up everything I've learned about life: it goes on. -Robert Frost
"""The road to success and the road to failure are almost exactly the same."" -Colin R. Davis"
"""I failed my way to success."" -Thomas Edison"
"""Don't be afraid to give up the good to go for the great."" -John D. Rockefeller"
"Whether you think you can or you think you can't, you're right. -Henry Ford"
The only person you are destined to become is the person you decide to be. -Ralph Waldo Emerson
"""Everything you've ever wanted is on the other side of fear."" -George Addair"
"""It does not matter how slowly you go as long as you do not stop."" -Confucius"
“Don’t let yesterday take up too much of today.” — Will Rogers
“Either you run the day or the day runs you.” — Jim Rohn
"“He is a wise man who does not grieve for the things which he has not, but rejoices for those which he has.” – Epictetus"
"“Opportunities don't happen, you create them.” — Chris Grosser"
“I am not a product of my circumstances. I am a product of my decisions.” — Stephen R. Covey
“Life is like riding a bicycle. To keep your balance you must keep moving.” —Albert Einstein
“What you do speaks so loudly that I cannot hear what you say.” —Ralph Waldo Emerson
"Courage doesn't always roar. Sometimes courage is a quiet voice at the end of the day saying, ""I will try again tomorrow."" —Mary Anne Radmacher"
